"","plot","lai","ndvi","gap_fraction","theta","ci","date"
"1","pace1",1.722,0.1772,19.18,6.3,0.904,"2018-04-26"
"2","pace2",0.724,-0.1336,47.764,9.288,0.864,"2018-04-26"
"3","pace3",0.8972,-0.0756,41.208,8.712,0.87,"2018-04-26"
"4","pace4",1.742,0.164,22.09,5.904,0.792,"2018-04-26"
"5","pace5",1.659,0.120666666666667,24.5883333333333,3.63,0.89,"2018-04-26"
"6","pace6",1.47966666666667,0.0328333333333333,30.5983333333333,10.11,0.825,"2018-04-26"
"7","pace7",1.59457142857143,0.0901428571428571,22.7785714285714,5.34857142857143,0.777142857142857,"2018-04-26"
"8","pace8",1.4255,0.081,25.5975,7.2,0.705,"2018-04-26"
"9","pace1",3.3536,0.4956,8.148,21.6,0.884,"2018-05-03"
"10","pace2",3.304,0.5164,9.122,20.232,0.782,"2018-05-03"
"11","pace3",3.4276,0.4894,8.58,22.104,0.75,"2018-05-03"
"12","pace4",4.043,0.654333333333333,4.985,18.3,0.8,"2018-05-03"
"13","pace5",4.682,0.687,4.034,15.732,0.766,"2018-05-03"
"14","pace6",4.6,0.6774,4.922,15.444,0.718,"2018-05-03"
"15","pace7",3.9792,0.5658,6.332,19.512,0.75,"2018-05-03"
"16","pace8",4.4665,0.6155,4.8325,15.795,0.7225,"2018-05-03"
"17","pace1",3.5248,0.6318,7.312,22.32,0.788,"2018-05-10"
"18","pace2",3.938,0.73075,5.68,18.495,0.875,"2018-05-10"
"19","pace3",3.8684,0.7022,6.32,20.628,0.826,"2018-05-10"
"20","pace4",3.8984,0.7412,5.016,19.188,0.848,"2018-05-10"
"21","pace5",5.0192,0.839,2.3,13.68,0.78,"2018-05-10"
"22","pace6",4.9176,0.8358,2.928,14.112,0.798,"2018-05-10"
"23","pace7",3.9325,0.7345,4.845,19.665,0.7225,"2018-05-10"
"24","pace8",4.3856,0.7232,5.07,16.992,0.778,"2018-05-10"
"25","pace1",3.482,0.6804,6.826,19.728,0.822,"2018-05-21"
"26","pace2",3.8748,0.7502,5.07,19.188,0.83,"2018-05-21"
"27","pace3",4.1396,0.7606,4.778,17.964,0.748,"2018-05-21"
"28","pace4",4.2052,0.7778,3.59,16.632,0.84,"2018-05-21"
"29","pace5",5.132,0.8408,1.922,13.356,0.834,"2018-05-21"
"30","pace6",4.8808,0.8502,2.304,14.184,0.718,"2018-05-21"
"31","pace7",4.2096,0.7668,4.018,17.964,0.748,"2018-05-21"
"32","pace8",4.3704,0.734,4.764,17.424,0.752,"2018-05-21"
"33","pace1",3.126,0.766,5.61,4.86,0.82,"2018-06-06"
"34","pace2",2.524,0.697,8.51,6.84,0.72,"2018-06-06"
"35","pace3",3.102,0.758,6.04,7.2,0.64,"2018-06-06"
"36","pace4",4.26,0.806,3.05,1.44,0.86,"2018-06-06"
"37","pace5",3.888,0.849,2.29,9.54,0.59,"2018-06-06"
"38","pace6",4.082,0.888,1.9,7.74,0.69,"2018-06-06"
"39","pace7",3.22,0.779,4.4,7.56,0.81,"2018-06-06"
"40","pace8",3.418,0.782,4,8.82,0.88,"2018-06-06"
