date,plot,vwc
2018-04-26,pace1,18.5
2018-04-26,pace1,25.5
2018-04-26,pace1,27.3
2018-04-26,pace1,15.9
2018-04-26,pace1,14.9
2018-04-26,pace1,19.2
2018-04-26,pace1,23.6
2018-04-26,pace2,33.7
2018-04-26,pace2,33
2018-04-26,pace2,31.7
2018-04-26,pace2,29.1
2018-04-26,pace2,36.4
2018-04-26,pace3,26.8
2018-04-26,pace3,26.7
2018-04-26,pace3,25.5
2018-04-26,pace3,30.7
2018-04-26,pace3,23.5
2018-04-26,pace4,26.6
2018-04-26,pace4,25.2
2018-04-26,pace4,25.5
2018-04-26,pace4,24
2018-04-26,pace4,27.5
2018-04-26,pace5,19.7
2018-04-26,pace5,13.1
2018-04-26,pace5,26.4
2018-04-26,pace5,29.1
2018-04-26,pace5,28
2018-04-26,pace6,26
2018-04-26,pace6,19.5
2018-04-26,pace6,23.5
2018-04-26,pace6,24
2018-04-26,pace6,25.8
2018-04-26,pace7,51.1
2018-04-26,pace7,50.8
2018-04-26,pace7,48.9
2018-04-26,pace7,50.9
2018-04-26,pace7,48.5
2018-04-26,pace8,30.1
2018-04-26,pace8,28.3
2018-04-26,pace8,26.2
2018-04-26,pace8,42
2018-04-26,pace8,33.9
